	Фраза	Религия	Наркотики	Геи	Деньги	Сексизим	Расизм	Алкоголь	
	Что друг, дунем ? 		10						Let's blaze, my friend
	Все деньги мира нужно разделить поровну				-5				Money should be divided equally between everyone
	Ах, если бы люди всех рас жили в мире!						-10		If only people of all races could live in peace
	Воюют только латентные геи! 			-5					War is for closeted gay men
	Все войны из-за денег! 				-10				Money is the root of all wars
	Давно пора легализовать! 		8						Should've legalised it a long time ago...
	Я ничего не имею против религии, но ее устои устарели	-4							I don't hold anything against religion, but man, are some of their ideas outdated
	Все должны любить друг друга! 	5	5	5	-5	-10	-10	5	All of us should love eachother
	Ну вот будут у тебя деньги, что ты сделаешь ? 				-5				So even if you had money, what would have you done?
	Чувак! Это классная дурь! Я вижу то, что ты слышишь! 		10						Dude! Stuff is good! I can see what you hear!
	Тебе нужно выпить и расслабиться!		8					10	Just drink and chillout
	Свободная любовь!	-5	5	7		-8	-5	5	Free Love, man!
	Расизм и сексизим уходит в прошлое					-10	-10		Racism and Sexism are outdated
	Ты мне не брат!	-5	-5	-5	-5	-5	-5	-5	You are no brother to me
	Люблю пивасик прохладным вечером	0	0	0	0	0	0	10	What could be better than a bottle of beer on a chill evening?
	Эти капиталисты забирают все наши деньги!				-5				Those big companies are taking away our money!
	У моего дядюшки Клетуса своя мет-лаборатория!		10						My uncle Clethus has his own meth lab
	Мексиканцы, пуэрториканцы - какая разница ? 						8		Mexicans, Puerto-ricans, what the difference?
	Ирак и Иран разве не одно и то же ? 						8		Aren't Iraq and Iran the same goddamn place?
	Ах ты! Капиталистическая мразь!				-10				You capitalist pig!
	Мой дед состоял в ККК						10		My grandpa was a KKK member
	Хочешь пива ? Или чего крепче ? 		5					9	Hey, wanna crack open a cold one? Or something harder?
	Бабе место на кухне					8			Women should know their place. At kitchen it is
	Эх, маловато мой батя мамку бил!					10			Dad didn't beat my mother nearly enough
	А ты из этих что ли? Из заднеприводных ? 			-10					Are you one of those? Rear wheel drive?
	Видел бы все это Генерал Ли...					5	8		If only general Lee saw this...
	Выпьем за Конфедерацию!			-4	-3	5	10	8	Let's drink for the confederation!
	Проклятые копы накрыли мою плантацию травы		10		-3				Damn cops ruined my weed farm
	Мы здесь таких как ты не любим!	-1	-2	-10	-5	9	9		The likes of you are not welcome here!
	Политики отняли всю нашу работу!				-6				Politicians took away our jobs!
	Я не считаю нужным платить налоги				-8				I dont think it's necessery to do taxes
	Я хожу на семейные тусовки с целью подцепить телку!	-8							I only go to family meetings to pick up a girl
	Лучший самогон - это разбавленный бензин!								Best booze is diluted gasoline
	У меня есть одна книга. И это Библия!	9							I only got The Book and I aint need any others
	Вздернуть бы тебя вон на том дереве, приятель			-10	-10	-10	-10		Would be great to hang yoyu on that tree fella
